Hour,Day,Value
23,6,144
22,6,172
21,6,180
20,6,254
19,6,342
18,6,451
17,6,641
16,6,764
15,6,796
14,6,852
13,6,929
12,6,778
11,6,735
10,6,620
9,6,405
8,6,274
7,6,119
6,6,40
5,6,21
4,6,6
3,6,13
2,6,29
1,6,46
0,6,80
23,5,147
22,5,199
21,5,209
20,5,279
19,5,558
18,5,1183
17,5,1784
16,5,1113
15,5,695
14,5,502
13,5,589
12,5,599
11,5,555
10,5,674
9,5,1438
8,5,1765
7,5,940
6,5,308
5,5,83
4,5,20
3,5,4
2,5,10
1,5,18
0,5,56
23,4,96
22,4,180
21,4,280
20,4,490
19,4,779
18,4,1242
17,4,1725
16,4,975
15,4,557
14,4,420
13,4,515
12,4,583
11,4,443
10,4,651
9,4,1497
8,4,2090
7,4,1015
6,4,360
5,4,75
4,4,18
3,4,5
2,4,12
1,4,16
0,4,34
23,3,109
22,3,223
21,3,395
20,3,584
19,3,868
18,3,1622
17,3,2142
16,3,1189
15,3,589
14,3,447
13,3,577
12,3,763
11,3,666
10,3,916
9,3,2156
8,3,2945
7,3,1485
6,3,479
5,3,116
4,3,25
3,3,5
2,3,7
1,3,11
0,3,56
23,2,133
22,2,274
21,2,479
20,2,631
19,2,1162
18,2,2031
17,2,2704
16,2,1524
15,2,881
14,2,630
13,2,688
12,2,806
11,2,641
10,2,829
9,2,2007
8,2,2843
7,2,1367
6,2,456
5,2,108
4,2,26
3,2,6
2,2,8
1,2,20
0,2,44
23,1,92
22,1,157
21,1,318
20,1,411
19,1,665
18,1,1207
17,1,1627
16,1,1014
15,1,649
14,1,604
13,1,576
12,1,578
11,1,507
10,1,600
9,1,1169
8,1,1407
7,1,582
6,1,200
5,1,53
4,1,14
3,1,14
2,1,43
1,1,59
0,1,92
23,7,61
22,7,112
21,7,158
20,7,199
19,7,306
18,7,392
17,7,480
16,7,621
15,7,686
14,7,651
13,7,705
12,7,676
11,7,635
10,7,514
9,7,330
8,7,156
7,7,81
6,7,21
5,7,14
4,7,12
3,7,8
2,7,37
1,7,66
0,7,93
